Var1,Var2_1,Var2_2,Var2_3
5.03,1,0.999371694928274,0.999999999800136
5.04,1,0.996823211829744,1.00000000010137
5.05,1,0.995052517293556,1.00000000037427
5.06,1,0.994493139162438,1.00000000061963
5.07,1,0.995282032770454,1.00000000083837
5.08,1,0.997226049500952,1.00000000103151
5.09,1,0.99984922630446,1.00000000120011
5.1,1,1.00250931805324,1.00000000134533
5.11,1,1.00455504154792,1.00000000146836
5.12,1,1.00548553235928,1.00000000157043
5.13,1,1.00507297390907,1.00000000165279
5.14,1,1.00341837491405,1.00000000171671
5.15,1,1.00092683892962,1.00000000176347
5.16,1,0.998208380871312,1.00000000179433
5.17,1,0.995928574088706,1.00000000181055
5.18,1,0.994645594797114,1.00000000181338
5.19,1,0.994673561073272,1.00000000180401
5.2,1,0.996005625795195,1.00000000178364
5.21,1,0.998315653056726,1.00000000175342
5.22,1,1.00103806761202,1.00000000171443
5.23,1,1.00350632742112,1.00000000166775
5.24,1,1.00511611638807,1.00000000161439
5.25,1,1.00547330201766,1.00000000155531
5.26,1,1.0044904327964,1.00000000149143
5.27,1,1.00240814937319,1.00000000142361
5.28,1,0.999736267336015,1.00000000135265
5.29,1,0.997128956575794,1.00000000127932
5.3,1,0.995224577682277,1.00000000120431
5.31,1,0.994489389008236,1.00000000112827
5.32,1,0.995103390363537,1.00000000105179
5.33,1,0.996916252784107,1.00000000097542
