Time,Vref_1,V7,D_1,portadora,Vout
5.8e-005,1,0.027877,0.0366194,0.5,0.145146
5.82e-005,1,0.0278481,0.0388133,0.55,0.146097
5.84e-005,1,0.0278189,0.0410057,0.6,0.147042
5.86e-005,1,0.0277896,0.0431965,0.65,0.14798
5.88e-005,1,0.0277601,0.0453856,0.7,0.148912
5.9e-005,1,0.0277304,0.0475732,0.75,0.149837
5.92e-005,1,0.0277006,0.0497591,0.8,0.150756
5.94e-005,1,0.0276705,0.0519435,0.85,0.151668
5.96e-005,1,0.0276403,0.0541262,0.9,0.152574
5.98e-005,1,0.0276098,0.0563073,0.95,0.153474
6e-005,1,0.0275792,0.0584869,1,0.154367
6.02e-005,1,0.0275484,0.0606648,0.05,0.155361
6.04e-005,1,0.0299174,0.024745,0.1,0.156413
6.06e-005,1,0.0301841,0.0222699,0.15,0.157447
6.08e-005,1,0.0301526,0.0245228,0.2,0.158476
6.1e-005,1,0.030121,0.0267741,0.25,0.159497
6.12e-005,1,0.0300892,0.0290236,0.3,0.160512
6.14e-005,1,0.0300572,0.0312713,0.35,0.161519
6.16e-005,1,0.030025,0.0335174,0.4,0.16252
6.18e-005,1,0.0299926,0.0357617,0.45,0.163513
6.2e-005,1,0.02996,0.0380042,0.5,0.1645
6.22e-005,1,0.0299272,0.040245,0.55,0.165479
6.24e-005,1,0.0298942,0.0424841,0.6,0.166452
6.26e-005,1,0.029861,0.0447214,0.65,0.167417
6.28e-005,1,0.0298277,0.046957,0.7,0.168376
6.3e-005,1,0.0297941,0.0491909,0.75,0.169328
6.32e-005,1,0.0297603,0.051423,0.8,0.170273
6.34e-005,1,0.0297263,0.0536534,0.85,0.171211
6.36e-005,1,0.0296922,0.055882,0.9,0.172143
6.38e-005,1,0.0296579,0.0581089,0.95,0.173067
6.4e-005,1,0.0296233,0.060334,1,0.173985
6.42e-005,1,0.0295886,0.0625574,0.05,0.175003
6.44e-005,1,0.0319537,0.0266829,0.1,0.176084
6.46e-005,1,0.0322695,0.023412,0.15,0.177145
6.48e-005,1,0.0322341,0.0257116,0.2,0.1782
6.5e-005,1,0.0321985,0.0280093,0.25,0.179247
6.52e-005,1,0.0321628,0.0303052,0.3,0.180288
6.54e-005,1,0.0321268,0.0325992,0.35,0.181321
6.56e-005,1,0.0320907,0.0348913,0.4,0.182346
6.58e-005,1,0.0320543,0.0371816,0.45,0.183364
6.6e-005,1,0.0320177,0.03947,0.5,0.184375
6.62e-005,1,0.031981,0.0417565,0.55,0.185378
6.64e-005,1,0.031944,0.0440411,0.6,0.186374
6.66e-005,1,0.0319068,0.0463238,0.65,0.187363
6.68e-005,1,0.0318694,0.0486047,0.7,0.188345
6.7e-005,1,0.0318319,0.0508837,0.75,0.189319
6.72e-005,1,0.0317941,0.0531608,0.8,0.190286
6.74e-005,1,0.0317561,0.0554361,0.85,0.191246
6.76e-005,1,0.031718,0.0577094,0.9,0.192199
6.78e-005,1,0.0316797,0.0599809,0.95,0.193145
6.8e-005,1,0.0316411,0.0622505,1,0.194083
6.82e-005,1,0.0316024,0.0645182,0.05,0.195122
6.84e-005,1,0.0339634,0.0286879,0.1,0.196227
6.86e-005,1,0.0343302,0.024589,0.15,0.197311
6.88e-005,1,0.0342908,0.026934,0.2,0.198388
6.9e-005,1,0.0342512,0.0292772,0.25,0.199458
6.92e-005,1,0.0342114,0.0316183,0.3,0.200521
6.94e-005,1,0.0341714,0.0339575,0.35,0.201575
6.96e-005,1,0.0341312,0.0362946,0.4,0.202622
6.98e-005,1,0.0340908,0.0386297,0.45,0.20366
7e-005,1,0.0340502,0.0409628,0.5,0.204692
7.02e-005,1,0.0340093,0.0432939,0.55,0.205715
7.04e-005,1,0.0339683,0.045623,0.6,0.206731
7.06e-005,1,0.033927,0.04795,0.65,0.207739
7.08e-005,1,0.0338856,0.0502751,0.7,0.20874
7.1e-005,1,0.0338439,0.0525981,0.75,0.209733
7.12e-005,1,0.0338021,0.0549191,0.8,0.210719
7.14e-005,1,0.03376,0.0572381,0.85,0.211697
7.16e-005,1,0.0337178,0.0595551,0.9,0.212667
7.18e-005,1,0.0336754,0.0618701,0.95,0.213631
7.2e-005,1,0.0336327,0.0641831,1,0.214586
7.22e-005,1,0.0335899,0.066494,0.05,0.215641
7.24e-005,1,0.0359468,0.0307068,0.1,0.216767
7.26e-005,1,0.036365,0.0257712,0.15,0.21787
7.28e-005,1,0.0363214,0.0281607,0.2,0.218967
7.3e-005,1,0.0362778,0.0305482,0.25,0.220056
7.32e-005,1,0.0362339,0.0329335,0.3,0.221136
7.34e-005,1,0.0361897,0.0353167,0.35,0.222209
7.36e-005,1,0.0361454,0.0376978,0.4,0.223273
7.38e-005,1,0.0361008,0.0400767,0.45,0.224329
7.4e-005,1,0.0360561,0.0424534,0.5,0.225378
7.42e-005,1,0.0360111,0.044828,0.55,0.226418
7.44e-005,1,0.0359659,0.0472004,0.6,0.22745
7.46e-005,1,0.0359206,0.0495707,0.65,0.228474
7.48e-005,1,0.035875,0.0519389,0.7,0.229491
7.5e-005,1,0.0358292,0.0543049,0.75,0.230499
7.52e-005,1,0.0357832,0.0566688,0.8,0.2315
7.54e-005,1,0.035737,0.0590305,0.85,0.232493
