Time,gate,Duty_moduladora,Vref_hs,Vout,V_port,D_pedro,Vref_pedro,portadora_pedro,V6,Vref_hst,V8
0.000182,1,1.74969,10,3.69672,0.2,0.422041,5,0.2,0.665561,5,0.2
0.000183,1,1.75544,10,3.72012,0.3,0.422452,5,0.3,0.666252,5,0.3
0.000184,1,1.76109,10,3.74541,0.4,0.422822,5,0.4,0.666835,5,0.4
0.000185,0,1.76661,10,3.77124,0.5,0.423143,5,0.5,0.667282,5,0.5
0.000186,0,1.77207,10,3.79519,0.6,0.423438,5,0.6,0.667673,5,0.6
0.000187,0,1.77762,10,3.81784,0.7,0.423752,5,0.7,0.668154,5,0.7
0.000188,0,1.78323,10,3.83879,0.8,0.424076,5,0.8,0.66869,5,0.8
0.000189,0,1.78892,10,3.85806,0.9,0.424417,5,0.9,0.669307,5,0.9
0.00019,0,1.79469,10,3.8757,1,0.424776,5,1,0.670002,5,1
0.000191,1,1.80054,10,3.89403,0.1,0.425154,5,0.1,0.670775,5,0.1
0.000192,1,1.80634,10,3.91431,0.2,0.425509,5,0.2,0.671487,5,0.2
0.000193,1,1.81199,10,3.93603,0.3,0.425815,5,0.3,0.672062,5,0.3
0.000194,1,1.81754,10,3.95961,0.4,0.426082,5,0.4,0.67253,5,0.4
0.000195,0,1.82296,10,3.98382,0.5,0.426301,5,0.5,0.672864,5,0.5
0.000196,0,1.82833,10,4.00612,0.6,0.426494,5,0.6,0.673138,5,0.6
0.000197,0,1.83378,10,4.02712,0.7,0.426707,5,0.7,0.673503,5,0.7
0.000198,0,1.83929,10,4.04638,0.8,0.426931,5,0.8,0.673926,5,0.8
0.000199,0,1.84489,10,4.06395,0.9,0.427174,5,0.9,0.67443,5,0.9
0.0002,0,1.85057,10,4.07987,1,0.427437,5,1,0.675016,5,1
0.000201,1,1.85633,10,4.09646,0.1,0.427719,5,0.1,0.675681,5,0.1
0.000202,1,1.86203,10,4.11498,0.2,0.42798,5,0.2,0.676287,5,0.2
0.000203,1,1.8676,10,4.13492,0.3,0.428194,5,0.3,0.676758,5,0.3
0.000204,1,1.87307,10,4.15672,0.4,0.42837,5,0.4,0.677124,5,0.4
0.000205,0,1.8784,10,4.1792,0.5,0.428499,5,0.5,0.677357,5,0.5
0.000206,0,1.88367,10,4.19976,0.6,0.428602,5,0.6,0.677528,5,0.6
0.000207,0,1.88904,10,4.21901,0.7,0.428727,5,0.7,0.677792,5,0.7
0.000208,0,1.89447,10,4.23651,0.8,0.428863,5,0.8,0.678114,5,0.8
0.000209,0,1.89998,10,4.2523,0.9,0.429021,5,0.9,0.67852,5,0.9
0.00021,0,1.90558,10,4.26643,1,0.429199,5,1,0.679009,5,1
0.000211,1,1.91126,10,4.28121,0.1,0.429398,5,0.1,0.679579,5,0.1
0.000212,1,1.91688,10,4.29793,0.2,0.429577,5,0.2,0.680092,5,0.2
