Time,D_pedro,portadora_pedro,Vref,Vc
4.72e-005,0.267592,0.8,5,0.61992
4.73e-005,0.267506,0.825,5,0.622037
4.74e-005,0.26742,0.85,5,0.624148
4.75e-005,0.267335,0.875,5,0.626251
4.76e-005,0.267249,0.9,5,0.628347
4.77e-005,0.267163,0.925,5,0.630436
4.78e-005,0.267077,0.95,5,0.632518
4.79e-005,0.266991,0.975,5,0.634593
4.8e-005,0.266905,1,5,0.63666
4.81e-005,0.266819,0.025,5,0.638746
4.82e-005,0.267658,0.05,5,0.640861
4.83e-005,0.268496,0.075,5,0.642998
4.84e-005,0.269334,0.1,5,0.645163
4.85e-005,0.270171,0.125,5,0.647358
4.86e-005,0.271007,0.15,5,0.649581
4.87e-005,0.271842,0.175,5,0.651833
4.88e-005,0.272677,0.2,5,0.654114
4.89e-005,0.273511,0.225,5,0.656423
4.9e-005,0.274345,0.25,5,0.658761
4.91e-005,0.275177,0.275,5,0.661127
4.92e-005,0.276009,0.3,5,0.663502
4.93e-005,0.275923,0.325,5,0.665869
4.94e-005,0.275829,0.35,5,0.66823
4.95e-005,0.275735,0.375,5,0.670582
4.96e-005,0.275642,0.4,5,0.672927
4.97e-005,0.275548,0.425,5,0.675264
4.98e-005,0.275454,0.45,5,0.677593
4.99e-005,0.275361,0.475,5,0.679914
5e-005,0.275267,0.5,5,0.682227
5.01e-005,0.275173,0.525,5,0.684532
5.02e-005,0.275079,0.55,5,0.68683
5.03e-005,0.274985,0.575,5,0.689119
5.04e-005,0.274891,0.6,5,0.691401
5.05e-005,0.274797,0.625,5,0.693674
5.06e-005,0.274703,0.65,5,0.69594
5.07e-005,0.274609,0.675,5,0.698198
5.08e-005,0.274515,0.7,5,0.700449
5.09e-005,0.274421,0.725,5,0.702691
5.1e-005,0.274326,0.75,5,0.704926
5.11e-005,0.274232,0.775,5,0.707153
5.12e-005,0.274138,0.8,5,0.709372
5.13e-005,0.274044,0.825,5,0.711583
5.14e-005,0.273949,0.85,5,0.713787
5.15e-005,0.273855,0.875,5,0.715983
5.16e-005,0.273761,0.9,5,0.718171
5.17e-005,0.273666,0.925,5,0.720352
5.18e-005,0.273572,0.95,5,0.722525
5.19e-005,0.273477,0.975,5,0.72469
5.2e-005,0.273383,1,5,0.726847
5.21e-005,0.273288,0.025,5,0.729023
5.22e-005,0.274119,0.05,5,0.731227
5.23e-005,0.274948,0.075,5,0.733452
5.24e-005,0.275777,0.1,5,0.735706
5.25e-005,0.276605,0.125,5,0.737988
5.26e-005,0.277433,0.15,5,0.740298
5.27e-005,0.27826,0.175,5,0.742637
5.28e-005,0.279086,0.2,5,0.745004
5.29e-005,0.279912,0.225,5,0.747399
5.3e-005,0.280737,0.25,5,0.749822
5.31e-005,0.281561,0.275,5,0.752273
5.32e-005,0.282385,0.3,5,0.754743
5.33e-005,0.282533,0.325,5,0.757203
5.34e-005,0.282431,0.35,5,0.759656
5.35e-005,0.282329,0.375,5,0.762101
5.36e-005,0.282226,0.4,5,0.764538
5.37e-005,0.282124,0.425,5,0.766966
5.38e-005,0.282021,0.45,5,0.769385
5.39e-005,0.281919,0.475,5,0.771797
5.4e-005,0.281816,0.5,5,0.774199
5.41e-005,0.281714,0.525,5,0.776594
